0,0,2,15,15,15,15,15,15,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
0,4,15,15,48,49,49,50,15,72,73,73,85,61,61,61,61,61,61,61,61,61,61,61,61,61,61
0,15,15,48,61,84,73,74,27,27,27,27,72,73,73,73,85,61,61,61,61,61,61,61,61,61,61
0,15,48,61,84,74,13,0,27,39,39,27,27,27,27,27,72,73,73,85,61,61,61,61,61,61,61
4,15,60,84,74,27,51,52,52,52,52,52,52,53,39,15,0,0,0,72,73,85,61,61,61,61,61
0,15,72,74,27,27,100,111,112,113,113,64,112,65,39,15,1,1,1,0,0,72,85,61,61,61,61
49,50,25,27,51,100,64,113,111,64,87,76,76,77,15,0,0,0,1,1,0,0,60,61,61,61,61
61,62,27,27,63,64,113,111,112,64,65,39,39,15,0,1,0,0,0,1,0,0,72,85,61,61,61
61,62,27,39,75,88,112,64,113,113,65,27,15,57,58,58,59,0,0,1,1,0,0,60,61,61,61
61,62,27,39,39,75,76,76,76,76,77,27,0,69,70,70,71,2,0,1,1,0,0,60,61,61,61
61,62,39,27,39,39,39,39,39,39,27,15,57,106,70,93,83,119,0,1,0,0,0,72,85,61,61
61,96,50,27,27,39,39,39,27,15,57,58,106,93,82,83,57,58,58,58,59,0,0,0,60,61,61
61,61,62,0,15,27,27,27,15,57,106,70,70,71,0,57,70,70,93,94,71,0,0,0,60,61,61
61,61,62,0,0,1,0,57,58,106,70,70,82,83,0,69,70,70,105,106,71,37,37,0,60,61,61
61,61,62,0,0,0,1,69,70,70,93,82,83,0,0,69,70,70,93,82,83,36,0,0,60,61,61
61,61,62,0,0,0,1,69,70,93,83,1,129,130,131,81,82,82,83,107,1,0,0,0,60,61,61
61,61,96,50,0,0,0,81,82,83,0,0,66,0,102,55,55,55,55,56,1,0,0,48,97,61,61
61,61,61,62,0,0,0,1,1,0,0,0,66,0,0,115,0,0,0,68,1,0,0,60,61,61,61
61,61,61,96,50,0,0,0,0,36,0,0,66,0,0,0,90,79,79,80,0,0,0,60,61,61,61
61,61,61,61,96,50,0,0,0,36,36,1,78,79,91,1,68,25,0,0,0,0,0,60,61,61,61
61,61,61,61,61,96,49,50,0,0,0,0,0,0,141,142,143,0,0,0,0,0,48,97,61,61,61
61,61,61,61,61,61,61,96,49,50,0,0,0,0,0,0,0,0,0,0,0,48,97,61,61,61,61
61,61,61,61,61,61,61,61,61,96,49,49,50,0,0,0,0,0,0,0,48,97,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61,61,61,96,49,49,49,49,49,49,49,97,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
